Threat Category,Threat Actor,Attack Vector,Geographical Location,Sentiment in Forums,Severity Score,Suggested Defense Mechanism,Risk Level Prediction,Cleaned Threat Description,Keyword Extraction,Named Entities (NER),Topic Modeling Labels
DDoS,Unknown,Email,Global,0.92,5,Increase Web Security,1,malware detected in email attachment,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",Ransomware
Ransomware,Unknown,Web,Russia,0.56,3,Monitor for Phishing,1,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Phishing
Phishing,Unknown,Network,Russia,0.56,5,Increase Web Security,4,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['Unknown', 'Phishing Service']",DDoS
Malware,APT-28,Web,Russia,0.91,3,Patch Vulnerability,2,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Malware
Phishing,Lazarus Group,Email,Global,0.96,2,Patch Vulnerability,5,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Ransomware
Malware,Unknown,Email,North Korea,0.73,3,Patch Vulnerability,5,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Malware
Ransomware,APT-28,Network,Global,0.75,2,Quarantine,2,ransomware attack through network vulnerability,"['phishing', 'link', 'email']","['Unknown', 'Phishing Service']",Ransomware
DDoS,Lazarus Group,Network,Germany,0.66,2,Monitor for Phishing,1,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",Phishing
Phishing,Unknown,Web,Global,0.95,4,Quarantine,4,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Malware
Malware,Anonymous,Web,Russia,0.82,2,Increase Web Security,5,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",Ransomware
Phishing,Lazarus Group,Email,USA,0.64,3,Monitor for Phishing,4,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Phishing
Malware,Unknown,Network,Global,0.65,4,Patch Vulnerability,2,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",Phishing
Phishing,Lazarus Group,Network,Global,0.95,4,Monitor for Phishing,4,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Ransomware
Malware,Lazarus Group,Network,Russia,0.51,2,Patch Vulnerability,2,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Malware
Malware,Lazarus Group,Web,USA,0.66,5,Quarantine,1,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Malware
Ransomware,Lazarus Group,Network,USA,0.78,5,Quarantine,2,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Phishing
Malware,Lazarus Group,Email,Germany,0.57,4,Patch Vulnerability,2,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['Anonymous', 'Website']",Phishing
Ransomware,Lazarus Group,Email,Global,0.55,2,Patch Vulnerability,5,phishing scam targeting corporate accounts,"['phishing', 'link', 'email']","['CompanyY', 'Malware']",DDoS
Malware,Unknown,Web,USA,0.91,5,Increase Web Security,4,phishing email with malicious link,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Phishing
DDoS,Anonymous,Web,USA,0.95,2,Quarantine,5,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Malware
DDoS,APT-28,Network,North Korea,0.91,2,Quarantine,3,phishing email with malicious link,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",DDoS
DDoS,Lazarus Group,Web,North Korea,0.95,4,Increase Web Security,2,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",Phishing
Malware,APT-28,Email,USA,0.78,4,Quarantine,3,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",Ransomware
Ransomware,Unknown,Network,Germany,0.91,1,Patch Vulnerability,5,ransomware attack through network vulnerability,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",Phishing
Ransomware,Lazarus Group,Email,USA,0.69,5,Monitor for Phishing,4,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",Phishing
Malware,Anonymous,Network,Russia,0.83,5,Monitor for Phishing,5,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",Phishing
DDoS,APT-28,Web,Global,0.99,5,Quarantine,4,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Ransomware
DDoS,Lazarus Group,Network,Germany,0.61,3,Increase Web Security,4,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Malware
Ransomware,Unknown,Network,Russia,0.69,2,Patch Vulnerability,1,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Ransomware
DDoS,Anonymous,Email,Germany,0.74,4,Monitor for Phishing,2,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['Unknown', 'Phishing Service']",Phishing
Phishing,APT-28,Email,Russia,0.57,5,Patch Vulnerability,5,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",Malware
Ransomware,APT-28,Network,Global,0.54,1,Quarantine,4,ransomware attack through network vulnerability,"['phishing', 'link', 'email']","['Unknown', 'Phishing Service']",DDoS
DDoS,Lazarus Group,Web,Global,0.91,5,Quarantine,5,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",Phishing
Ransomware,Anonymous,Web,North Korea,0.99,2,Monitor for Phishing,5,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Ransomware
Phishing,Anonymous,Email,Russia,0.7,2,Quarantine,4,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",DDoS
Ransomware,Anonymous,Web,North Korea,0.54,4,Increase Web Security,3,phishing scam targeting corporate accounts,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",Phishing
Ransomware,Anonymous,Email,Russia,0.53,3,Quarantine,2,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",DDoS
Ransomware,Unknown,Web,North Korea,0.95,4,Quarantine,2,phishing email with malicious link,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",Ransomware
Ransomware,Anonymous,Network,Global,0.73,5,Quarantine,1,phishing scam targeting corporate accounts,"['phishing', 'link', 'email']","['Anonymous', 'Website']",DDoS
Phishing,APT-28,Email,Germany,0.66,1,Patch Vulnerability,1,malware detected in email attachment,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Ransomware
Malware,APT-28,Email,North Korea,0.74,4,Patch Vulnerability,1,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Phishing
Ransomware,Unknown,Network,Russia,0.66,3,Monitor for Phishing,2,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",Malware
Ransomware,APT-28,Email,Russia,0.74,4,Monitor for Phishing,3,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",Phishing
DDoS,APT-28,Web,Global,0.93,2,Monitor for Phishing,2,phishing email with malicious link,"['phishing', 'link', 'email']","['CompanyY', 'Malware']",Malware
Ransomware,Anonymous,Web,Russia,0.8,5,Quarantine,2,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",Malware
DDoS,APT-28,Email,USA,0.85,5,Patch Vulnerability,2,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",Malware
Malware,Unknown,Web,Germany,0.68,5,Increase Web Security,2,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['CompanyX', 'APT-28']",Ransomware
Phishing,Anonymous,Email,North Korea,0.87,5,Quarantine,3,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",Ransomware
Phishing,Lazarus Group,Network,Germany,0.83,5,Quarantine,1,malware detected in email attachment,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Phishing
Malware,Anonymous,Email,Global,0.56,5,Quarantine,5,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",Ransomware
Phishing,Unknown,Network,North Korea,0.79,1,Increase Web Security,1,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Ransomware
Malware,Anonymous,Web,North Korea,0.63,3,Monitor for Phishing,1,malware detected in email attachment,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",Ransomware
Malware,Anonymous,Network,USA,0.9,5,Increase Web Security,5,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Ransomware
Malware,Unknown,Web,Global,0.71,3,Monitor for Phishing,2,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",Phishing
Phishing,Anonymous,Email,Russia,1,5,Increase Web Security,3,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Phishing
DDoS,Unknown,Web,USA,0.55,4,Patch Vulnerability,3,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Ransomware
Malware,Unknown,Email,USA,0.89,5,Quarantine,1,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Phishing
Ransomware,Lazarus Group,Email,Germany,0.84,2,Quarantine,5,phishing email with malicious link,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",DDoS
Phishing,APT-28,Network,Germany,0.88,1,Quarantine,4,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",Phishing
Malware,APT-28,Network,Germany,0.65,4,Monitor for Phishing,2,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",Ransomware
Malware,Anonymous,Network,USA,0.75,4,Increase Web Security,1,malware detected in email attachment,"['DDoS', 'website', 'attack']","['CompanyY', 'Malware']",Phishing
Ransomware,Anonymous,Network,Russia,0.9,2,Patch Vulnerability,3,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",Phishing
DDoS,Lazarus Group,Web,North Korea,0.62,5,Increase Web Security,5,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",DDoS
DDoS,Lazarus Group,Web,Germany,0.61,1,Quarantine,5,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Phishing
DDoS,Lazarus Group,Web,Russia,0.78,4,Patch Vulnerability,1,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",Phishing
Malware,Unknown,Email,Global,0.76,1,Patch Vulnerability,4,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",Malware
Malware,Lazarus Group,Web,Germany,0.64,4,Quarantine,3,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",DDoS
Malware,Lazarus Group,Web,North Korea,0.65,5,Increase Web Security,1,malware detected in email attachment,"['phishing', 'link', 'email']","['Unknown', 'Phishing Service']",Malware
Phishing,Anonymous,Web,Global,0.64,4,Quarantine,4,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",DDoS
Ransomware,Lazarus Group,Network,Global,0.89,4,Increase Web Security,5,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",Malware
Malware,Unknown,Web,North Korea,0.83,3,Patch Vulnerability,2,malware detected in email attachment,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",Malware
Ransomware,Unknown,Email,Germany,0.92,5,Patch Vulnerability,3,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['CompanyY', 'Malware']",Phishing
Ransomware,Anonymous,Network,USA,0.99,2,Quarantine,3,malware detected in email attachment,"['phishing', 'link', 'email']","['Unknown', 'Phishing Service']",Phishing
DDoS,Lazarus Group,Email,North Korea,0.74,2,Patch Vulnerability,4,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",DDoS
Phishing,Lazarus Group,Web,North Korea,0.53,5,Monitor for Phishing,1,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['Anonymous', 'Website']",Phishing
Malware,Unknown,Network,North Korea,0.52,2,Patch Vulnerability,5,malware detected in email attachment,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",Phishing
DDoS,Lazarus Group,Email,Global,0.65,5,Monitor for Phishing,4,phishing scam targeting corporate accounts,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",Phishing
DDoS,Lazarus Group,Web,Russia,0.97,2,Patch Vulnerability,2,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Ransomware
Malware,Lazarus Group,Email,USA,0.76,3,Quarantine,2,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",Phishing
Ransomware,APT-28,Email,Germany,0.64,2,Quarantine,2,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['CompanyX', 'APT-28']",Phishing
DDoS,Anonymous,Email,Germany,0.7,4,Monitor for Phishing,4,malware detected in email attachment,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Ransomware
Ransomware,APT-28,Web,Russia,0.8,5,Quarantine,5,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",Malware
Phishing,Anonymous,Web,North Korea,0.83,1,Patch Vulnerability,3,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Malware
Ransomware,Unknown,Email,USA,0.58,1,Patch Vulnerability,1,phishing email with malicious link,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",Ransomware
Phishing,Lazarus Group,Network,Germany,0.99,5,Quarantine,3,malware detected in email attachment,"['phishing', 'link', 'email']","['CompanyY', 'Malware']",Ransomware
Ransomware,Anonymous,Network,Germany,0.77,3,Patch Vulnerability,5,distributed denial of service attack on public website,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",Ransomware
DDoS,APT-28,Web,North Korea,0.57,2,Increase Web Security,3,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",DDoS
DDoS,Lazarus Group,Web,Russia,0.95,3,Increase Web Security,4,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",Phishing
Phishing,Unknown,Web,USA,0.54,1,Patch Vulnerability,2,malware detected in email attachment,"['phishing', 'link', 'email']","['CompanyY', 'Malware']",Phishing
Malware,Anonymous,Web,Russia,0.95,5,Quarantine,5,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['Unknown', 'Phishing Service']",Malware
Phishing,Anonymous,Web,Russia,1,5,Monitor for Phishing,5,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",Malware
Phishing,Anonymous,Network,USA,0.85,3,Quarantine,3,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Malware
Ransomware,Lazarus Group,Web,USA,0.89,3,Monitor for Phishing,4,malware detected in email attachment,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",Phishing
Ransomware,APT-28,Email,Germany,0.67,2,Quarantine,3,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",Malware
Phishing,APT-28,Email,Germany,0.97,4,Patch Vulnerability,3,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['CompanyX', 'APT-28']",Ransomware
DDoS,Anonymous,Network,USA,0.76,4,Increase Web Security,5,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['CompanyY', 'Malware']",Malware
Ransomware,Unknown,Email,Global,0.87,2,Quarantine,3,phishing email with malicious link,"['DDoS', 'website', 'attack']","['Unknown', 'Phishing Service']",Ransomware
Malware,Unknown,Network,Germany,0.96,4,Monitor for Phishing,2,phishing scam targeting corporate accounts,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",DDoS
Ransomware,APT-28,Network,Global,0.99,1,Increase Web Security,3,phishing email with malicious link,"['malware', 'email', 'attachment']","['Unknown', 'Phishing Service']",Phishing
Ransomware,Unknown,Email,USA,0.92,4,Monitor for Phishing,2,phishing scam targeting corporate accounts,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",Phishing
Malware,APT-28,Web,Germany,0.65,2,Patch Vulnerability,5,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Phishing
Phishing,Anonymous,Email,Russia,0.98,4,Increase Web Security,4,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",DDoS
Malware,APT-28,Email,USA,0.81,5,Monitor for Phishing,2,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['CompanyX', 'APT-28']",Ransomware
Phishing,APT-28,Network,North Korea,0.97,3,Quarantine,4,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",DDoS
Phishing,Anonymous,Email,Global,0.84,1,Patch Vulnerability,4,malware detected in email attachment,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",Phishing
Phishing,Unknown,Network,USA,0.65,5,Patch Vulnerability,2,phishing email with malicious link,"['phishing', 'link', 'email']","['Unknown', 'Phishing Service']",Ransomware
Malware,APT-28,Web,USA,0.69,5,Patch Vulnerability,5,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Anonymous', 'Website']",DDoS
Phishing,APT-28,Web,Germany,0.78,2,Quarantine,1,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",Phishing
DDoS,Anonymous,Web,Germany,0.9,3,Quarantine,4,ransomware attack through network vulnerability,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",Ransomware
Malware,Unknown,Email,Germany,0.66,3,Increase Web Security,4,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",Ransomware
DDoS,APT-28,Network,North Korea,0.79,1,Quarantine,5,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['CompanyY', 'Malware']",Phishing
Phishing,Anonymous,Web,Germany,0.67,2,Increase Web Security,5,malware detected in email attachment,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Ransomware
Ransomware,APT-28,Network,USA,0.91,1,Patch Vulnerability,3,phishing email with malicious link,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",Phishing
Phishing,Lazarus Group,Network,Germany,0.73,4,Increase Web Security,5,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['CompanyY', 'Malware']",Malware
DDoS,Anonymous,Web,Russia,0.54,5,Monitor for Phishing,4,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",Malware
DDoS,Unknown,Web,Germany,0.58,1,Patch Vulnerability,2,phishing email with malicious link,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",Ransomware
Malware,Unknown,Network,North Korea,0.53,5,Patch Vulnerability,1,malware detected in email attachment,"['phishing', 'link', 'email']","['Anonymous', 'Website']",Ransomware
Ransomware,Unknown,Web,Russia,0.75,2,Increase Web Security,3,distributed denial of service attack on public website,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Phishing
Malware,Unknown,Network,USA,0.55,4,Patch Vulnerability,2,phishing email with malicious link,"['phishing', 'link', 'email']","['Unknown', 'Phishing Service']",Ransomware
DDoS,APT-28,Network,USA,0.56,2,Quarantine,1,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Phishing
Phishing,APT-28,Web,Global,0.97,4,Monitor for Phishing,1,phishing email with malicious link,"['phishing', 'link', 'email']","['Lazarus Group', 'Network Device']",Malware
Ransomware,Unknown,Email,Russia,0.94,4,Increase Web Security,1,phishing email with malicious link,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",Ransomware
Phishing,Unknown,Web,Global,0.73,5,Increase Web Security,2,malware detected in email attachment,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Ransomware
Phishing,Unknown,Email,Russia,0.99,2,Patch Vulnerability,3,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",DDoS
Ransomware,APT-28,Network,Russia,0.5,2,Quarantine,3,malware detected in email attachment,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Ransomware
Malware,Unknown,Network,North Korea,0.81,1,Patch Vulnerability,1,phishing email with malicious link,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",Phishing
Phishing,Unknown,Email,Global,0.81,2,Patch Vulnerability,2,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",Malware
DDoS,Lazarus Group,Network,North Korea,0.73,1,Increase Web Security,1,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['Unknown', 'Phishing Service']",DDoS
Phishing,Lazarus Group,Email,Russia,0.7,3,Patch Vulnerability,5,phishing scam targeting corporate accounts,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",Phishing
Ransomware,Unknown,Email,USA,0.73,3,Monitor for Phishing,3,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",Phishing
Ransomware,Anonymous,Network,Russia,0.71,3,Patch Vulnerability,4,malware detected in email attachment,"['phishing', 'link', 'email']","['Anonymous', 'Website']",Malware
Ransomware,Unknown,Email,North Korea,0.87,2,Patch Vulnerability,1,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",Phishing
Malware,Lazarus Group,Web,Global,0.57,2,Increase Web Security,5,malware detected in email attachment,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",Phishing
Phishing,Anonymous,Web,Global,0.6,1,Patch Vulnerability,3,malware detected in email attachment,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",Ransomware
Malware,Anonymous,Network,North Korea,0.59,4,Quarantine,2,distributed denial of service attack on public website,"['malware', 'email', 'attachment']","['CompanyY', 'Malware']",Malware
Malware,Unknown,Network,Global,0.63,1,Increase Web Security,3,phishing scam targeting corporate accounts,"['phishing', 'link', 'email']","['Unknown', 'Phishing Service']",DDoS
Ransomware,Lazarus Group,Email,Germany,0.76,3,Patch Vulnerability,2,phishing scam targeting corporate accounts,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Ransomware
Ransomware,Lazarus Group,Email,USA,0.56,1,Monitor for Phishing,2,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",Phishing
Malware,Anonymous,Email,USA,0.93,4,Monitor for Phishing,1,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['Anonymous', 'Website']",Phishing
Phishing,Unknown,Email,USA,0.65,2,Increase Web Security,1,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",DDoS
DDoS,APT-28,Web,Global,0.58,1,Increase Web Security,3,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Phishing
Malware,APT-28,Web,Global,0.84,3,Patch Vulnerability,5,phishing email with malicious link,"['malware', 'email', 'attachment']","['Anonymous', 'Website']",DDoS
Phishing,Lazarus Group,Network,Russia,0.52,3,Quarantine,3,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",Malware
Ransomware,APT-28,Email,Russia,0.81,2,Patch Vulnerability,4,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['Lazarus Group', 'Network Device']",DDoS
Ransomware,Lazarus Group,Email,USA,0.85,1,Monitor for Phishing,2,ransomware attack through network vulnerability,"['phishing', 'link', 'email']","['CompanyY', 'Malware']",Phishing
Phishing,Lazarus Group,Network,Germany,0.61,4,Quarantine,2,distributed denial of service attack on public website,"['phishing', 'corporate', 'scam']","['CompanyX', 'APT-28']",Phishing
DDoS,Lazarus Group,Email,Russia,0.52,2,Quarantine,1,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['CompanyX', 'APT-28']",Phishing
Ransomware,APT-28,Email,Russia,0.68,1,Quarantine,5,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",DDoS
Ransomware,Lazarus Group,Email,Global,0.55,5,Patch Vulnerability,1,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Malware
Ransomware,Anonymous,Email,Germany,0.56,3,Monitor for Phishing,4,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",Phishing
Phishing,Unknown,Email,USA,0.63,4,Increase Web Security,3,phishing scam targeting corporate accounts,"['ransomware', 'network', 'vulnerability']","['Unknown', 'Phishing Service']",Ransomware
Malware,Unknown,Network,Russia,0.65,4,Patch Vulnerability,3,phishing email with malicious link,"['ransomware', 'network', 'vulnerability']","['Lazarus Group', 'Network Device']",Phishing
Ransomware,Lazarus Group,Email,Germany,0.76,4,Increase Web Security,5,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['Unknown', 'Phishing Service']",DDoS
Malware,Unknown,Network,Germany,0.84,3,Quarantine,1,ransomware attack through network vulnerability,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Malware
DDoS,APT-28,Email,USA,0.8,1,Quarantine,1,malware detected in email attachment,"['ransomware', 'network', 'vulnerability']","['Unknown', 'Phishing Service']",Malware
Ransomware,APT-28,Web,Germany,0.57,2,Patch Vulnerability,4,ransomware attack through network vulnerability,"['malware', 'email', 'attachment']","['CompanyX', 'APT-28']",Phishing
Ransomware,Unknown,Web,Germany,0.59,1,Monitor for Phishing,3,ransomware attack through network vulnerability,"['DDoS', 'website', 'attack']","['CompanyX', 'APT-28']",Phishing
DDoS,APT-28,Web,Germany,0.94,2,Quarantine,1,phishing scam targeting corporate accounts,"['phishing', 'link', 'email']","['Anonymous', 'Website']",Phishing
Ransomware,Unknown,Web,Russia,0.78,4,Increase Web Security,5,phishing email with malicious link,"['DDoS', 'website', 'attack']","['Lazarus Group', 'Network Device']",Ransomware
Malware,Unknown,Network,USA,0.93,1,Increase Web Security,3,distributed denial of service attack on public website,"['ransomware', 'network', 'vulnerability']","['CompanyY', 'Malware']",Ransomware
Phishing,Unknown,Network,Germany,0.69,4,Patch Vulnerability,4,phishing email with malicious link,"['phishing', 'corporate', 'scam']","['Lazarus Group', 'Network Device']",Ransomware
Malware,Lazarus Group,Email,Germany,0.81,5,Increase Web Security,5,malware detected in email attachment,"['phishing', 'link', 'email']","['Unknown', 'Phishing Service']",Malware
Phishing,Unknown,Web,Russia,0.76,4,Monitor for Phishing,2,phishing email with malicious link,"['phishing', 'link', 'email']","['CompanyY', 'Malware']",Phishing
Phishing,Lazarus Group,Network,USA,0.66,4,Quarantine,4,ransomware attack through network vulnerability,"['phishing', 'corporate', 'scam']","['CompanyY', 'Malware']",Phishing
Malware,Unknown,Email,Global,0.73,2,Increase Web Security,5,malware detected in email attachment,"['phishing', 'link', 'email']","['CompanyX', 'APT-28']",Phishing
